pH,ionic_strength_mM,zeta_mV_predicted,V_max_kT
6.898305084745763,11.4762830329519,-31.10492506840702,58.277209153228306
6.9491525423728815,11.4762830329519,-31.598354694060454,60.97853580152252
7.0,11.4762830329519,-32.091784319713895,63.7387639531448
4.0,12.015310563037616,-12.422250528270952,-0.16308481880390605
4.0508474576271185,12.015310563037616,-12.599715950496229,-0.16308481723219365
4.101694915254237,12.015310563037616,-12.777181372721506,-0.16308481563818686
4.1525423728813555,12.015310563037616,-12.954646794946783,-0.16308481402188568
4.203389830508475,12.015310563037616,-13.132112217172061,-0.16308481238329015
4.254237288135593,12.015310563037616,-13.309577639397338,-0.16308481072240022
4.305084745762712,12.015310563037616,-13.487043061622614,-0.1551852075838761
4.3559322033898304,12.015310563037616,-13.66450848384789,0.047385794670262486
4.406779661016949,12.015310563037616,-13.841973906073166,0.2583561564976425
4.4576271186440675,12.015310563037616,-14.019439328298443,0.47762102484603164
4.508474576271187,12.015310563037616,-14.196904750523723,0.7051269174407415
4.559322033898305,12.015310563037616,-14.374370172748998,0.9408196384524736
4.610169491525424,12.015310563037616,-14.551835594974275,1.184598881523545
4.661016949152542,12.015310563037616,-14.72930101719955,1.4365027468057372
4.711864406779661,12.015310563037616,-14.906766439424826,1.6963827619102332
4.762711864406779,12.015310563037616,-15.084231861650103,1.9642519747562315
4.813559322033898,12.015310563037616,-15.26169728387538,2.2401021201364504
4.864406779661017,12.015310563037616,-15.439162706100658,2.523900890560547
4.915254237288136,12.015310563037616,-15.616628128325935,2.815588875676497
4.966101694915254,12.015310563037616,-15.79409355055121,3.1150761239184255
5.016949152542373,12.015310563037616,-15.971558972776489,3.422488660016012
5.067796610169491,12.015310563037616,-16.149024395001764,3.7376264430515334
5.118644067796611,12.015310563037616,-16.326489817227046,4.060692601775043
5.169491525423728,12.015310563037616,-16.503955239452317,4.391470675918996
5.220338983050848,12.015310563037616,-16.681420661677596,4.729986026675846
5.271186440677966,12.015310563037616,-16.85888608390287,5.076254607413325
5.322033898305085,12.015310563037616,-17.03635150612815,5.430282044948714
5.372881355932203,12.015310563037616,-17.213816928353427,5.792062635692286
5.423728813559322,12.015310563037616,-17.391282350578702,6.1615782475540755
5.474576271186441,12.015310563037616,-17.56874777280398,6.53879711737294
5.52542372881356,12.015310563037616,-17.893759368062227,7.249432769231779
5.576271186440678,12.015310563037616,-18.36631713635344,8.328691534054263
5.627118644067797,12.015310563037616,-18.83887490464465,9.462195022917793
5.677966101694915,12.015310563037616,-19.311432672935865,10.649648208630872
5.728813559322034,12.015310563037616,-19.783990441227076,11.89145604078224
5.779661016949152,12.015310563037616,-20.25654820951829,13.186852926258076
5.830508474576272,12.015310563037616,-20.72910597780951,14.53611296103872
5.88135593220339,12.015310563037616,-21.201663746100724,15.939303062383532
5.932203389830509,12.015310563037616,-21.674221514391935,17.396243916209112
5.983050847457627,12.015310563037616,-22.14677928268315,18.906463398936044
6.033898305084746,12.015310563037616,-22.61933705097436,20.470722961239037
6.084745762711865,12.015310563037616,-23.09189481926558,22.088042745927357
6.135593220338983,12.015310563037616,-23.564452587556783,23.759029473977993
6.186440677966102,12.015310563037616,-24.037010355848004,25.48373405916648
6.237288135593221,12.015310563037616,-24.509568124139214,27.261720905029428
6.288135593220339,12.015310563037616,-24.982125892430428,29.09291282313135
6.338983050847458,12.015310563037616,-25.454683660721642,30.978063648274674
6.389830508474576,12.015310563037616,-25.927241429012852,32.91661868395477
6.4406779661016955,12.015310563037616,-26.399799197304073,34.90794913813432
6.491525423728813,12.015310563037616,-26.872356965595277,36.95291393109364
6.5423728813559325,12.015310563037616,-27.344914733886498,39.05132548315425
6.593220338983051,12.015310563037616,-27.81747250217771,41.202840324389065
6.6440677966101696,12.015310563037616,-28.290030270468925,43.407438179756134
