pH,ionic_strength_mM,zeta_mV_predicted,V_max_kT
4.110169491525424,5.322596738523791,38.19465184131917,92.28172829733722
4.177966101694915,5.322596738523791,37.89497205960407,90.4991719158661
4.245762711864407,5.322596738523791,37.5465485573815,88.45038838519213
4.313559322033898,5.322596738523791,37.142021005935916,86.09604754295303
4.38135593220339,5.322596738523791,36.67311974688623,83.41193572047641
4.4491525423728815,5.322596738523791,36.13062584433182,80.3552289650916
4.516949152542373,5.322596738523791,35.50435821659978,76.8955530273375
4.584745762711864,5.322596738523791,34.78320019206899,73.00558582030534
4.652542372881356,5.322596738523791,33.9551804750793,68.66279694676527
4.720338983050848,5.322596738523791,33.00762587361254,63.85240898886296
4.788135593220339,5.322596738523791,31.927404682997505,58.57667206191328
4.8559322033898304,5.322596738523791,30.701279558848682,52.85778048182385
4.923728813559322,5.322596738523791,29.31638604149765,46.742076249975476
4.991525423728813,5.322596738523791,27.760846465111598,40.30992573961939
5.059322033898305,5.322596738523791,26.024517710018856,33.67388394057454
5.127118644067797,5.322596738523791,24.099854463966352,26.989742083903398
5.194915254237288,5.322596738523791,21.982847591008422,20.45324374258859
5.262711864406779,5.322596738523791,19.673971594224824,14.298683862075691
5.330508474576272,5.322596738523791,17.179049661230792,8.793392940778864
5.398305084745763,5.322596738523791,14.509925023926954,4.224956952546789
5.466101694915254,5.322596738523791,11.684820227896367,0.8944937902862374
5.533898305084746,5.322596738523791,8.728277905600471,-0.042940024982318324
5.601694915254237,5.322596738523791,5.670611563687217,-0.04294003746408165
5.669491525423728,5.322596738523791,2.5468513759610403,-0.042940044741415384
5.73728813559322,5.322596738523791,-0.6047598121241506,-0.04294004647665394
5.805084745762712,5.322596738523791,-3.7445946536950245,-0.04294004260507195
5.872881355932203,5.322596738523791,-6.833613438396917,-0.04294003334126475
5.9406779661016955,5.322596738523791,-9.835274816465738,-0.04294001915640046
6.008474576271187,5.322596738523791,-12.717190533326857,1.9296943683877519
6.076271186440678,5.322596738523791,-15.452373548337842,5.681534859716777
6.1440677966101696,5.322596738523791,-18.01999479495553,10.516161840934535
6.211864406779661,5.322596738523791,-20.405636003990274,16.139085189573883
6.279661016949152,5.322596738523791,-22.60108939640481,22.273819939702015
6.347457627118644,5.322596738523791,-24.603799265393835,28.671671857316305
6.415254237288135,5.322596738523791,-26.416061581013278,35.120116629354534
6.483050847457627,5.322596738523791,-28.044097714169155,41.44638686151007
6.5508474576271185,5.322596738523791,-29.49710290085629,47.51946293119758
6.618644067796611,5.322596738523791,-30.786346131189898,53.24517390643481
6.686440677966102,5.322596738523791,-31.924372023370083,58.56218236029115
6.754237288135593,5.322596738523791,-32.92433142158767,63.43724398529092
6.822033898305085,5.322596738523791,-33.799448416267275,67.86103693129651
6.889830508474576,5.322596738523791,-34.562618006017544,71.83734070208804
6.9576271186440675,5.322596738523791,-35.2261203365697,75.38484988782533
7.025423728813559,5.322596738523791,-35.80143339245474,78.52822787102649
7.093220338983051,5.322596738523791,-36.29912502616254,81.29686101806088
7.161016949152542,5.322596738523791,-36.72880620708524,83.72891496157504
7.228813559322034,5.322596738523791,-37.099129481961505,85.84910840675394
7.296610169491526,5.322596738523791,-37.41781921996353,87.69822772409286
